"model","Batch","top_k","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"rf",30,1,4,11,"attribute2","attribute2",0.776923076923077
"rf",30,1,5,14,"attribute2","attribute2",0.753846153846154
"rf",30,1,6,18,"attribute4","attribute2",0.794230769230769
"rf",30,2,0,0,"attribute2;attribute4",NA,0.815384615384615
"rf",30,2,1,1,"attribute2;attribute4","attribute2",0.813461538461538
"rf",30,2,2,4,"attribute2;attribute4","attribute2",0.801923076923077
"rf",30,2,3,9,"attribute2;attribute4","attribute2",0.8
"rf",30,2,4,11,"attribute2;attribute4","attribute2",0.776923076923077
"rf",30,2,5,14,"attribute2;attribute4","attribute2",0.753846153846154
"rf",30,2,6,18,"attribute4;attribute2","attribute2",0.794230769230769
"rf",30,2,7,23,"attribute2;attribute4","attribute2",0.788461538461538
"rf",30,2,8,24,"attribute2;attribute4","attribute2",0.782692307692308
"rf",30,2,9,25,"attribute2;attribute4","attribute2",0.771153846153846
"rf",30,2,10,26,"attribute2;attribute4","attribute4",0.817307692307692
"rf",30,3,0,0,"attribute2;attribute4;attribute1",NA,0.815384615384615
"rf",30,3,1,1,"attribute2;attribute4;attribute3","attribute2",0.813461538461538
"rf",30,3,2,4,"attribute2;attribute4;attribute3","attribute2",0.801923076923077
"rf",30,3,3,5,"attribute4;attribute2;attribute3","attribute3",0.794230769230769
"rf",30,3,4,7,"attribute4;attribute2;attribute3","attribute2",0.826923076923077
"rf",30,3,5,12,"attribute2;attribute4;attribute1","attribute3",0.761538461538461
"rf",30,3,6,13,"attribute4;attribute2;attribute1","attribute1",0.790384615384615
"rf",30,3,7,14,"attribute2;attribute4;attribute1","attribute2",0.757692307692308
"rf",30,3,8,22,"attribute2;attribute4;attribute1","attribute2",0.751923076923077
"rf",30,3,9,23,"attribute2;attribute4;attribute3","attribute2;attribute4",0.815384615384615
"rf",30,3,10,24,"attribute2;attribute4;attribute3","attribute2",0.798076923076923
"rf",30,3,11,29,"attribute4;attribute2;attribute1","attribute3",0.751923076923077
"rf",30,3,12,30,"attribute2;attribute4;attribute8","attribute2;attribute1",0.70873786407767
"logistic",30,1,0,0,"attribute2",NA,0.817307692307692
"logistic",30,1,1,9,"attribute4","attribute2",0.763461538461538
"logistic",30,1,2,11,"attribute8","attribute4",0.759615384615385
"logistic",30,1,3,12,"attribute8","attribute8",0.765384615384615
"logistic",30,1,4,17,"attribute2","attribute8",0.801923076923077
"logistic",30,2,0,0,"attribute2;attribute8",NA,0.817307692307692
"logistic",30,2,1,2,"attribute8;attribute2","attribute8",0.805769230769231
"logistic",30,2,2,4,"attribute8;attribute1","attribute8",0.767307692307692
"logistic",30,2,3,5,"attribute8;attribute1","attribute8",0.782692307692308
"logistic",30,2,4,6,"attribute8;attribute1","attribute8",0.773076923076923
