"model","Batch","top_k","l2_coef","l2der_coef","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"rf",20,2,1,1,11,14,"feature_4;feature_2","feature_4;feature_2",1.49722314885332
"rf",20,2,1,1,12,15,"feature_4;feature_2","feature_4",1.51220934195194
"rf",20,2,1,1,13,16,"feature_4;feature_2","feature_2",1.53267912903781
"rf",20,2,1,1,14,17,"feature_4;feature_2","feature_4;feature_2",2.14323410143157
"rf",20,2,1,1,15,18,"feature_4;feature_1","feature_2",4.94418649706218
"rf",20,2,1,1,16,19,"feature_4;feature_1","feature_1",4.34096764512102
"rf",20,3,1,1,0,0,"feature_4;feature_2;feature_1",NA,1.80744292662707
"rf",20,3,1,1,1,1,"feature_4;feature_2;feature_1","feature_4",1.82149946422386
"rf",20,3,1,1,2,2,"feature_4;feature_2;feature_1","feature_4;feature_2",1.70729098307797
"rf",20,3,1,1,3,4,"feature_4;feature_2;feature_1","feature_1",1.68004301246548
"rf",20,3,1,1,4,5,"feature_4;feature_2;feature_1","feature_4;feature_2;feature_1",1.6887537020607
"rf",20,3,1,1,5,6,"feature_4;feature_2;feature_1","feature_4;feature_2",1.65695179800177
"rf",20,3,1,1,6,8,"feature_4;feature_2;feature_1","feature_2",1.56415293016035
"rf",20,3,1,1,7,9,"feature_4;feature_2;feature_1","feature_4;feature_2;feature_1",1.64422313683848
"rf",20,3,1,1,8,10,"feature_4;feature_2;feature_1","feature_2;feature_1",1.5799326486977
"rf",20,3,1,1,9,11,"feature_4;feature_2;feature_1","feature_2",1.63211289887923
"rf",20,3,1,1,10,12,"feature_4;feature_2;feature_1","feature_4;feature_2;feature_1",1.55626740341693
"rf",20,3,1,1,11,13,"feature_4;feature_2;feature_1","feature_2;feature_1",1.49752962264625
"rf",20,3,1,1,12,14,"feature_4;feature_2;feature_1","feature_4;feature_2",1.49788499771127
"rf",20,3,1,1,13,15,"feature_4;feature_2;feature_1","feature_4;feature_2;feature_1",1.49743913202978
"rf",20,3,1,1,14,16,"feature_4;feature_2;feature_1","feature_4;feature_1",1.50447095320282
"rf",20,3,1,1,15,17,"feature_4;feature_2;feature_1","feature_4",2.15745320780356
"rf",20,3,1,1,16,18,"feature_4;feature_1;feature_2","feature_2;feature_1",4.94724220726701
"rf",20,3,1,1,17,20,"feature_4;feature_1;feature_2","feature_1",1.57138065973087
"linear",20,1,1,1,0,0,"feature_4",NA,2.55908541587481
"linear",20,1,1,1,1,1,"feature_4","feature_4",2.71257448383964
"linear",20,2,1,1,0,0,"feature_4;feature_2",NA,2.55908541587481
