"Model","Mean_Accuracy","Drift_Count","Batch","most_important","model","train_acc","overfit_gap","regularize"
"PDD_1","0.7355079","2",20,"attribute2","tree","0.7933884","0.02965217","strong"
"PDD_2","0.7355079","2",20,"attribute2;attribute1","tree","0.7933884","0.02965217","strong"
"PDD_3","0.7355079","2",20,"attribute2;attribute1;attribute7","tree","0.7933884","0.02965217","strong"
"Base Test","0.7637363","0",20,"attribute2","tree","0.7933884","0.02965217","strong"
"Base Train","0.7933884","0",20,"attribute2","tree","0.7933884","0.02965217","strong"
"batch sizes","2904","727",20,"attribute2","tree","0.7933884","0.02965217","strong"
"HDDM_A","0.7782387","4",30,"attribute4","rf","0.9050602","0.08198332","strong"
"HDDM_W","0.786714","11",30,"attribute4","rf","0.9050602","0.08198332","strong"
"KSWIN","0.79396","25",30,"attribute4","rf","0.9050602","0.08198332","strong"
"PageHinkley","0.7804164","3",30,"attribute4","rf","0.9050602","0.08198332","strong"
"DDM","0.7916536","10",30,"attribute4","rf","0.9050602","0.08198332","strong"
"EDDM","0.7965864","30",30,"attribute4","rf","0.9050602","0.08198332","strong"
"PDD_C","0.7688294","1",30,"attribute4","rf","0.9050602","0.08198332","strong"
"PDD_1","0.7688294","1",30,"attribute4","rf","0.9050602","0.08198332","strong"
"PDD_2","0.7907537","9",30,"attribute4;attribute2","rf","0.9050602","0.08198332","strong"
"PDD_3","0.7918415","18",30,"attribute4;attribute2;attribute8","rf","0.9050602","0.08198332","strong"
"Base Test","0.8230769","0",30,"attribute4","rf","0.9050602","0.08198332","strong"
"Base Train","0.9050602","0",30,"attribute4","rf","0.9050602","0.08198332","strong"
"batch sizes","2075","519",30,"attribute4","rf","0.9050602","0.08198332","strong"
"HDDM_A","0.05171832","1",30,"attribute2","logistic","0.07518072","0.03671918","strong"
"HDDM_W","0.05184217","3",30,"attribute2","logistic","0.07518072","0.03671918","strong"
"KSWIN","0.06004356","19",30,"attribute2","logistic","0.07518072","0.03671918","strong"
"PageHinkley","0.05171832","0",30,"attribute2","logistic","0.07518072","0.03671918","strong"
"DDM","0.05581342","1",30,"attribute2","logistic","0.07518072","0.03671918","strong"
"EDDM","0.0622355","4",30,"attribute2","logistic","0.07518072","0.03671918","strong"
"PDD_C","0.05555763","4",30,"attribute2","logistic","0.07518072","0.03671918","strong"
"PDD_1","0.05792942","4",30,"attribute2","logistic","0.07518072","0.03671918","strong"
"PDD_2","0.05914737","10",30,"attribute2;attribute8","logistic","0.07518072","0.03671918","strong"
"PDD_3","0.05914737","10",30,"attribute2;attribute8;attribute4","logistic","0.07518072","0.03671918","strong"
"Base Test","0.03846154","0",30,"attribute2","logistic","0.07518072","0.03671918","strong"
"Base Train","0.07518072","0",30,"attribute2","logistic","0.07518072","0.03671918","strong"
"batch sizes","2075","519",30,"attribute2","logistic","0.07518072","0.03671918","strong"
"HDDM_A","0.7426375","7",30,"attribute2","tree","0.793253","0.0105607","strong"
"HDDM_W","0.7409746","22",30,"attribute2","tree","0.793253","0.0105607","strong"
"KSWIN","0.7403585","30",30,"attribute2","tree","0.793253","0.0105607","strong"
"PageHinkley","0.733825","3",30,"attribute2","tree","0.793253","0.0105607","strong"
"DDM","0.7395569","21",30,"attribute2","tree","0.793253","0.0105607","strong"
"EDDM","0.7403585","30",30,"attribute2","tree","0.793253","0.0105607","strong"
"PDD_C","0.7352328","10",30,"attribute2","tree","0.793253","0.0105607","strong"
"PDD_1","0.7338468","3",30,"attribute2","tree","0.793253","0.0105607","strong"
"PDD_2","0.735206","4",30,"attribute2;attribute1","tree","0.793253","0.0105607","strong"
"PDD_3","0.735206","4",30,"attribute2;attribute1;attribute8","tree","0.793253","0.0105607","strong"
"Base Test","0.7826923","0",30,"attribute2","tree","0.793253","0.0105607","strong"
"Base Train","0.793253","0",30,"attribute2","tree","0.793253","0.0105607","strong"
"batch sizes","2075","519",30,"attribute2","tree","0.793253","0.0105607","strong"
