"model","Batch","top_k","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"tree",30,2,8,20,"feature_1;feature_2","feature_1",0.898778359511344
"tree",30,2,9,23,"feature_1;feature_2","feature_1",0.881326352530541
"tree",30,2,10,24,"feature_1;feature_2","feature_2",0.87783595113438
"tree",30,2,11,26,"feature_1;feature_2","feature_2",0.870855148342059
"tree",30,2,12,28,"feature_1;feature_2","feature_2",0.893542757417103
"tree",30,2,13,29,"feature_1;feature_2","feature_1;feature_2",0.910994764397906
"tree",30,3,0,0,"feature_2;feature_1",NA,0.427574171029668
"tree",30,3,1,4,"feature_1;feature_2","feature_1",0.427574171029668
"tree",30,3,2,5,"feature_1;feature_2","feature_1;feature_2",0.56369982547993
"tree",30,3,3,6,"feature_1;feature_2","feature_1;feature_2",0.504363001745201
"tree",30,3,4,11,"feature_1;feature_2","feature_2",0.745200698080279
"tree",30,3,5,16,"feature_1;feature_2","feature_1",0.837696335078534
"tree",30,3,6,18,"feature_1;feature_2","feature_2",0.921465968586387
"tree",30,3,7,19,"feature_1;feature_2","feature_1",0.900523560209424
"tree",30,3,8,20,"feature_1;feature_2","feature_1",0.898778359511344
"tree",30,3,9,23,"feature_1;feature_2","feature_1",0.881326352530541
"tree",30,3,10,24,"feature_1;feature_2","feature_2",0.87783595113438
"tree",30,3,11,26,"feature_1;feature_2","feature_2",0.870855148342059
"tree",30,3,12,28,"feature_1;feature_2","feature_2",0.893542757417103
"tree",30,3,13,29,"feature_1;feature_2","feature_1;feature_2",0.910994764397906
